Spp,commonName,scientificName
2298,Somali Fiscal,Lanius somalicus
3204,Kulal White-eye,Zosterops kulalensis
3510,Thekla's Lark,Galerida theklae
3504,Chestnut-headed Sparrow-Lark,Eremopterix signatus
1998,Eurasian  Stone-curlew,Burhinus oedicnemus
3914,Heuglin's Masked  Weaver,Ploceus heuglini
3778,Black-bellied Firefinch,Lagonosticta rara
2570,Blue-shouldered Robin-Chat,Cossypha cyanocampter
1117,Olive-bellied Sunbird,Cinnyris chloropygius
2432,Lowland Sooty Boubou,Laniarius leucorhynchus
3836,Swahili Sparrow,Passer suahelicus
467,African Hill Babbler,Sylvia abyssinica
1254,Moorland Francolin,Scleroptila psilolaema
3136,Whistling Cisticola,Cisticola lateralis
1030,Shoebill,Balaeniceps rex
14191,Rufous  Chatterer,Argya rubiginosa
2114,Scissor-tailed Kite,Chelictinia riocourii
3118,Carruthers's Cisticola,Cisticola carruthersi
4080,Papyrus Canary,Crithagra koliensis
3748,Northern Red  Bishop,Euplectes franciscanus
10033,Hybrid Blacksmith/White-crowned Lapwing,NULL
3878,Chestnut-crowned  Sparrow-Weaver,Plocepasser superciliosus
14189,Black Kite,Milvus migrans
1386,Abyssinian Woodpecker,Dendropicos abyssinicus
2802,Babbling Starling,Neocichla gutturalis
3616,Grauer's Double-collared Sunbird,Nectarinia [Cinnyris] [afra] stuhlmanni graueri
3698,Malindi Pipit,Anthus melindae
3680,Blue-headed Sunbird,Cyanomitra alinae
2776,Purple-headed Starling,Hylopsar purpureiceps
3640,Shining Sunbird,Cinnyris habessinicus
897,Red-necked Stint,Calidris ruficollis
1008,Greater Yellowlegs,Tringa melanoleuca
1022,European Pied Flycatcher,Ficedula hypoleuca
2244,Barau's Petrel,Pterodroma baraui
2768,Abyssinian Ground Thrush,Geokichla piaggiae
3910,Rueppell's Weaver,Ploceus galbula
1438,Red-rumped Tinkerbird,Pogoniulus atroflavus
10005,Hybrid Duck,Anas hybrid
972,Long-toed Stint,Calidris subminuta
1067,Papyrus Yellow Warbler,Calamonastides gracilirostris
3768,Bar-breasted Firefinch,Lagonosticta rufopicta
3994,Barka Indigobird,Vidua larvaticola
1179,Golden-backed Bishop,Euplectes aureus
3434,Philippa's Crombec,Sylvietta philippae
4084,Southern  Citril,Crithagra hyposticta
3262,Green-backed Eremomela,Eremomela canescens
10002,Hybrid Damara/Red-billed Hornbill,Tockus damarensis/erythrorhynchus
1714,Red-crested Turaco,Tauraco erythrolophus
3984,Exclamatory Paradise  Whydah,Vidua interjecta
974,Hybrid Red/Yellow-billed Duck,Anas erythroryncha/undulata
1119,Brown-backed Cisticola,Cisticola [chubbi] discolor
896,Dunlin,Calidris alpina
1062,White-bellied Kingfisher,Corythornis leucogaster
1121,Eastern Bearded Greenbul,Criniger chloronotus
1130,Naked-faced Barbet,Gymnobucco calvus
1131,Blue-breasted Kingfisher,Halcyon malimbica
1145,Icterine Greenbul,Phyllastrephus icterinus
1163,Western Bluebill,Spermophaga haematina
1165,Red-bellied Paradise Flycatcher,Terpsiphone rufiventer
1396,Fire-bellied Woodpecker,Chloropicus pyrrhogaster
1482,Piping  Hornbill,Bycanistes fistulator
1492,African Pied Hornbill,Lophoceros fasciatus
1560,Chocolate-backed Kingfisher,Halcyon badia
1594,Olive Long-tailed Cuckoo,Cercococcyx olivinus
2146,Long-tailed Hawk,Urotriorchis macrourus
2262,Rufous-sided Broadbill,Smithornis rufolateralis
2346,Blue  Cuckooshrike,Cyanograucalus azureus
2950,Little Grey Greenbul,Eurillas gracilis
3094,Yellow-browed Camaroptera,Camaroptera superciliaris
3440,Scaly Chatterer,Argya aylmeri
3672,Superb Sunbird,Cinnyris superbus
3112,Boran Cisticola,Cisticola bodessa
1524,Black Scimitarbill,Rhinopomastus aterrimus
959,Shining-blue  Kingfisher,Alcedo quadribrachys
862,White-headed Petrel,Pterodroma lessonii
1089,Orange-cheeked Waxbill,Estrilda melpoda
1250,Stone Partridge,Ptilopachus petrosus
