Spp,commonName,scientificName
61,Western Cattle Egret,Bubulcus ibis
73,Marabou Stork,Leptoptilos crumenifer
84,Hadada  Ibis,Bostrychia hagedash
89,Egyptian Goose,Alopochen aegyptiaca
106,Cape Vulture,Gyps coprotheres
107,White-backed Vulture,Gyps africanus
109,White-headed Vulture,Trigonoceps occipitalis
134,Tawny Eagle,Aquila rapax
149,African Fish Eagle,Haliaeetus vocifer
151,Bateleur,Terathopius ecaudatus
174,Crested Francolin,Dendroperdix sephaena
183,Natal Spurfowl,Pternistis natalensis
242,Crowned Lapwing,Vanellus coronatus
245,Blacksmith Lapwing,Vanellus armatus
314,Red-eyed Dove,Streptopelia semitorquata
316,Cape Turtle Dove,Streptopelia capicola
317,Laughing Dove,Spilopelia senegalensis
318,Namaqua Dove,Oena capensis
321,Emerald-spotted Wood Dove,Turtur chalcospilos
323,African Green Pigeon,Treron calvus
339,Grey Go-away-bird,Crinifer concolor
399,Woodland Kingfisher,Halcyon senegalensis
402,Brown-hooded Kingfisher,Halcyon albiventris
404,European Bee-eater,Merops apiaster
412,European Roller,Coracias garrulus
418,African Hoopoe,Upupa africana
424,African Grey Hornbill,Lophoceros nasutus
426,Southern Yellow-billed Hornbill,Tockus leucomelas
430,Southern Ground  Hornbill,Bucorvus leadbeateri
431,Black-collared Barbet,Lybius torquatus
439,Crested Barbet,Trachyphonus vaillantii
521,Black-headed Oriole,Oriolus larvatus
545,Dark-capped Bulbul,Pycnonotus tricolor
621,Long-billed Crombec,Sylvietta rufescens
682,African Paradise Flycatcher,Terpsiphone viridis
707,Southern  Fiscal,Lanius collaris
737,Cape Starling,Lamprotornis nitens
779,Red-billed Buffalo Weaver,Bubalornis niger
786,Cape Sparrow,Passer melanurus
839,Blue Waxbill,Uraeginthus angolensis
940,Rock Dove,Columba livia
4129,Southern Red-billed Hornbill,Tockus rufirostris
57,Purple Heron,Ardea purpurea
185,Swainson's Spurfowl,Pternistis swainsonii
238,Three-banded Plover,Charadrius tricollaris
247,African Wattled Lapwing,Vanellus senegallus
256,Ruff,Calidris pugnax
517,Fork-tailed Drongo,Dicrurus adsimilis
642,Rattling Cisticola,Cisticola chiniana
685,African Pied Wagtail,Motacilla aguimp
708,Red-backed Shrike,Lanius collurio
735,Wattled Starling,Creatophora cinerea
748,Red-billed Oxpecker,Buphagus erythrorynchus
4131,Burchell's Coucal,Centropus burchellii
311,Speckled Pigeon,Columba guinea
506,Rock Martin,Ptyonoprogne fuligula
543,Cape Bulbul,Pycnonotus capensis
570,Familiar Chat,Oenanthe familiaris
665,Fiscal Flycatcher,Melaenornis silens
686,Cape Wagtail,Motacilla capensis
722,Bokmakierie,Telophorus zeylonus
745,Red-winged Starling,Onychognathus morio
751,Malachite Sunbird,Nectarinia famosa
799,Cape Weaver,Ploceus capensis
808,Southern Red Bishop,Euplectes orix
810,Yellow Bishop,Euplectes capensis
1172,Cape White-eye,Zosterops virens
287,Kelp Gull,Larus dominicanus
352,Diederik Cuckoo,Chrysococcyx caprius
380,African Black Swift,Apus barbatus
503,Lesser Striped Swallow,Cecropis abyssinica
509,Brown-throated Martin,Riparia paludicola
756,Purple-banded Sunbird,Cinnyris bifasciatus
784,House Sparrow,Passer domesticus
820,Red-headed Finch,Amadina erythrocephala
830,Green-winged Pytilia,Pytilia melba
910,Rufous-tailed Palm Thrush,Cichladusa ruficauda
3116,Bubbling Cisticola,Cisticola bulliens
4142,Southern Grey-headed Sparrow,Passer diffusus
387,African Palm Swift,Cypsiurus parvus
392,Red-faced Mousebird,Urocolius indicus
494,Angolan Swallow,Hirundo angolensis
791,Spectacled Weaver,Ploceus ocularis
852,Long-tailed Paradise  Whydah,Vidua paradisaea
72,Hamerkop,Scopus umbretta
81,African Sacred Ibis,Threskiornis aethiopicus
129,Yellow-billed Kite,Milvus aegyptius
144,Lizard Buzzard,Kaupifalco monogrammicus
167,African Marsh Harrier,Circus ranivorus
232,Ruddy Turnstone,Arenaria interpres
253,Little Stint,Calidris minuta
258,Common Sandpiper,Actitis hypoleucos
267,Eurasian Curlew,Numenius arquata
328,Brown-headed Parrot,Poicephalus cryptoxanthus
385,Little Swift,Apus affinis
408,B\u00f6hm's Bee-eater,Merops boehmi
413,Lilac-breasted Roller,Coracias caudatus
438,Yellow-rumped Tinkerbird,Pogoniulus bilineatus
447,Golden-tailed Woodpecker,Campethera abingoni
493,Barn Swallow,Hirundo rustica
496,Wire-tailed Swallow,Hirundo smithii
513,Black Cuckooshrike,Campephaga flava
551,Sombre Greenbul,Andropadus importunus
673,Chinspot Batis,Batis molitor
704,Yellow-throated Longclaw,Macronyx croceus
712,Black-backed Puffback,Dryoscopus cubla
723,Grey-headed Bushshrike,Malaconotus blanchoti
765,Grey Sunbird,Cyanomitra veroxii
112,Palm-nut Vulture,Gypohierax angolensis
116,African Hobby,Falco cuvierii
147,Southern Banded Snake  Eagle,Circaetus fasciolatus
246,White-crowned Lapwing,Vanellus albiceps
306,African Skimmer,Rynchops flavirostris
376,Square-tailed Nightjar,Caprimulgus fossii
394,Pied Kingfisher,Ceryle rudis
409,White-fronted Bee-eater,Merops bullockoides
410,Little Bee-eater,Merops pusillus
450,Cardinal Woodpecker,Dendropicos fuscescens
627,Green-backed Camaroptera,Camaroptera brachyura
657,Grey Tit-Flycatcher,Myioparus plumbeus
719,Orange-breasted Bushshrike,Chlorophoneus sulfureopectus
797,Village Weaver,Ploceus cucullatus
62,Squacco Heron,Ardeola ralloides
74,African Openbill,Anastomus lamelligerus
92,African Pygmy Goose,Nettapus auritus
104,White-backed Duck,Thalassornis leuconotus
192,Helmeted Guineafowl,Numida meleagris
203,Black Crake,Zapornia flavirostra
208,African Swamphen,Porphyrio madagascariensis
209,Allen's Gallinule,Porphyrio alleni
210,Common Moorhen,Gallinula chloropus
212,Red-knobbed Coot,Fulica cristata
228,African Jacana,Actophilornis africanus
229,Lesser Jacana,Microparra capensis
337,Purple-crested Turaco,Gallirex porphyreolophus
344,Black Cuckoo,Cuculus clamosus
351,Klaas's Cuckoo,Chrysococcyx klaas
397,Malachite Kingfisher,Corythornis cristatus
400,Mangrove Kingfisher,Halcyon senegaloides
405,Blue-cheeked Bee-eater,Merops persicus
550,Yellow-bellied Greenbul,Chlorocichla flaviventris
675,Pale Batis,Batis soror
714,Brown-crowned Tchagra,Tchagra australis
736,Violet-backed Starling,Cinnyricinclus leucogaster
819,Lesser Seedcracker,Pyrenestes minor
823,Bronze Mannikin,Spermestes cucullata
824,Red-backed Mannikin,Spermestes nigriceps
977,Ethiopian  Boubou,Laniarius aethiopicus
121,Dickinson's Kestrel,Falco dickinsoni
127,African Cuckoo-Hawk,Aviceda cuculoides
130,Black-winged  Kite,Elanus caeruleus
162,Gabar Goshawk,Micronisus gabar
263,Common Greenshank,Tringa nebularia
343,Red-chested Cuckoo,Cuculus solitarius
355,Senegal Coucal,Centropus senegalensis
358,Green Malkoha,Ceuthmochares australis
366,African Barred Owlet,Glaucidium capense
368,Spotted Eagle-Owl,Bubo africanus
373,Fiery-necked Nightjar,Caprimulgus pectoralis
416,Broad-billed Roller,Eurystomus glaucurus
419,Green  Wood Hoopoe,Phoeniculus purpureus
422,Trumpeter Hornbill,Bycanistes bucinator
427,Crowned Hornbill,Lophoceros alboterminatus
454,African Broadbill,Smithornis capensis
518,Common Square-tailed Drongo,Dicrurus ludwigii
522,Pied Crow,Corvus albus
588,White-browed Scrub Robin,Cercotrichas leucophrys
593,Collared Palm Thrush,Cichladusa arquata
647,Croaking Cisticola,Cisticola natalensis
649,Tawny-flanked Prinia,Prinia subflava
667,Black-and-white Shrike-flycatcher,Bias musicus
679,Livingstone's Flycatcher,Erythrocercus livingstonei
715,Black-crowned Tchagra,Tchagra senegalus
731,Brubru,Nilaus afer
770,Western Violet-backed Sunbird,Anthreptes longuemarei
771,Collared Sunbird,Hedydipna collaris
774,Scarlet-chested Sunbird,Chalcomitra senegalensis
790,Dark-backed Weaver,Ploceus bicolor
809,Black-winged Red  Bishop,Euplectes hordeaceus
832,Red-throated Twinspot,Hypargos niveoguttatus
843,Common Waxbill,Estrilda astrild
888,Sooty Falcon,Falco concolor
1650,Brown-necked Parrot,Poicephalus fuscicollis
1710,Livingstone's Turaco,Tauraco livingstonii
188,Red-necked Spurfowl,Pternistis afer
372,Rufous-cheeked Nightjar,Caprimulgus rufigena
374,Freckled Nightjar,Caprimulgus tristigma
617,Moustached Grass Warbler,Melocichla mentalis
814,White-winged Widowbird,Euplectes albonotatus
846,Pin-tailed Whydah,Vidua macroura
1586,Red-backed Mousebird,Colius castanotus
54,Grey Heron,Ardea cinerea
58,Great Egret,Ardea alba
78,Abdim's Stork,Ciconia abdimii
137,Wahlberg's Eagle,Hieraaetus wahlbergi
141,African Hawk-eagle,Aquila spilogaster
143,Crowned  Eagle,Stephanoaetus coronatus
157,Ovambo Sparrowhawk,Accipiter ovampensis
160,African Goshawk,Accipiter tachiro
171,African Harrier-Hawk,Polyboroides typus
172,Western Osprey,Pandion haliaetus
235,White-fronted Plover,Charadrius marginatus
280,Bronze-winged Courser,Rhinoptilus chalcopterus
382,Mottled Swift,Tachymarptis aequatorialis
383,White-rumped Swift,Apus caffer
395,Giant Kingfisher,Megaceryle maxima
403,Striped Kingfisher,Halcyon chelicuti
421,Common Scimitarbill,Rhinopomastus cyanomelas
437,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
440,Greater Honeyguide,Indicator indicator
451,Bearded Woodpecker,Chloropicus namaquus
458,Rufous-naped Lark,Mirafra africana
500,Mosque Swallow,Cecropis senegalensis
519,Eurasian Golden Oriole,Oriolus oriolus
524,White-necked Raven,Corvus albicollis
527,Southern Black Tit,Melaniparus niger
533,Arrow-marked Babbler,Turdoides jardineii
546,Terrestrial Brownbul,Phyllastrephus terrestris
552,Kurrichane Thrush,Turdus libonyana
557,Groundscraper Thrush,Turdus litsitsirupa
573,Mocking Cliff Chat,Thamnolaea cinnamomeiventris
580,White-browed Robin-Chat,Cossypha heuglini
585,Bearded Scrub Robin,Cercotrichas quadrivirgata
602,Green-capped Eremomela,Eremomela scotops
625,Yellow-breasted Apalis,Apalis flavida
680,Blue-mantled Crested Flycatcher,Trochocercus cyanomelas
692,African Pipit,Anthus cinnamomeus
696,Striped Pipit,Anthus lineiventris
725,Eastern Nicator,Nicator gularis
738,Greater Blue-eared Starling,Lamprotornis chalybaeus
763,White-bellied Sunbird,Cinnyris talatala
772,Amethyst Sunbird,Chalcomitra amethystina
777,Northern Yellow White-eye,Zosterops senegalensis
780,White-browed  Sparrow-Weaver,Plocepasser mahali
788,Yellow-throated Bush Sparrow,Gymnoris superciliaris
802,Southern Brown-throated Weaver,Ploceus xanthopterus
804,Thick-billed Weaver,Amblyospiza albifrons
805,Red-billed Quelea,Quelea quelea
827,Green Twinspot,Mandingoa nitidula
835,Jameson's Firefinch,Lagonosticta rhodopareia
837,Red-billed Firefinch,Lagonosticta senegala
859,Yellow-fronted Canary,Crithagra mozambica
874,Golden-breasted Bunting,Emberiza flaviventris
4126,Eastern Long-billed Lark,Certhilauda semitorquata
6,Little Grebe,Tachybaptus ruficollis
97,Red-billed Teal,Anas erythrorhyncha
396,Half-collared Kingfisher,Alcedo semitorquata
501,Red-breasted Swallow,Cecropis semirufa
762,Variable Sunbird,Cinnyris venustus
792,Lesser Masked Weaver,Ploceus intermedius
56,Goliath Heron,Ardea goliath
63,Striated Heron,Butorides striata
75,Saddle-billed Stork,Ephippiorhynchus senegalensis
76,Yellow-billed Stork,Mycteria ibis
110,Hooded Vulture,Necrosyrtes monachus
270,Black-winged Stilt,Himantopus himantopus
315,Mourning Collared Dove,Streptopelia decipiens
319,Tambourine Dove,Turtur tympanistria
327,Meyer's Parrot,Poicephalus meyeri
407,Southern Carmine Bee-eater,Merops nubicoides
520,African Golden Oriole,Oriolus auratus
677,Black-throated Wattle-eye,Platysteira peltata
727,White-crested Helmetshrike,Prionops plumatus
742,Meves's Starling,Lamprotornis mevesii
55,Black-headed Heron,Ardea melanocephala
83,Glossy Ibis,Plegadis falcinellus
332,Lilian's Lovebird,Agapornis lilianae
65,Rufous-bellied Heron,Ardeola rufiventris
77,Woolly-necked Stork,Ciconia episcopus
88,Spur-winged Goose,Plectropterus gambensis
91,Knob-billed Duck,Sarkidiornis melanotos
113,Peregrine Falcon,Falco peregrinus
161,Shikra,Accipiter badius
163,Dark Chanting Goshawk,Melierax metabates
428,Bradfield's Hornbill,Lophoceros bradfieldi
728,Retz's Helmetshrike,Prionops retzii
793,Red-headed Weaver,Anaplectes rubriceps
851,Village Indigobird,Vidua chalybeata
1036,White-browed Coucal,Centropus superciliosus
50,Reed Cormorant,Microcarbo africanus
64,Black Heron,Egretta ardesiaca
80,White Stork,Ciconia ciconia
85,African Spoonbill,Platalea alba
100,White-faced Whistling Duck,Dendrocygna viduata
115,Eurasian Hobby,Falco subbuteo
146,Black-chested Snake Eagle,Circaetus pectoralis
190,Harlequin Quail,Coturnix delegorguei
214,Grey Crowned Crane,Balearica regulorum
248,Long-toed Lapwing,Vanellus crassirostris
264,Wood Sandpiper,Tringa glareola
274,Water Thick-knee,Burhinus vermiculatus
304,White-winged Tern,Chlidonias leucopterus
340,Common Cuckoo,Cuculus canorus
362,African Wood Owl,Strix woodfordii
389,B\u00f6hm's Spinetail,Neafrapus boehmi
401,Grey-headed Kingfisher,Halcyon leucocephala
442,Lesser Honeyguide,Indicator minor
628,Grey-backed Camaroptera,Camaroptera brevicaudata
629,Zitting Cisticola,Cisticola juncidis
662,Pale Flycatcher,Melaenornis pallidus
706,Lesser Grey Shrike,Lanius minor
59,Little Egret,Egretta garzetta
365,Pearl-spotted Owlet,Glaucidium perlatum
446,Bennett's Woodpecker,Campethera bennettii
108,Lappet-faced Vulture,Torgos tracheliotos
310,Double-banded Sandgrouse,Pterocles bicinctus
145,Brown Snake  Eagle,Circaetus cinereus
414,Racket-tailed Roller,Coracias spatulatus
52,African Darter,Anhinga rufa
60,Intermediate Egret,Ardea intermedia
67,Little Bittern,Ixobrychus minutus
158,Little Sparrowhawk,Accipiter minullus
288,Grey-headed Gull,Chroicocephalus cirrocephalus
803,Southern Masked  Weaver,Ploceus velatus
347,Levaillant's Cuckoo,Clamator levaillantii
393,Narina Trogon,Apaloderma narina
507,Common House Martin,Delichon urbicum
599,Willow Warbler,Phylloscopus trochilus
603,Great Reed  Warbler,Acrocephalus arundinaceus
604,Lesser Swamp  Warbler,Acrocephalus gracilirostris
821,Cut-throat Finch,Amadina fasciata
872,Cinnamon-breasted Bunting,Emberiza tahapisi
654,Spotted Flycatcher,Muscicapa striata
193,Crested Guineafowl,Guttera pucherani
142,Martial Eagle,Polemaetus bellicosus
148,Western Banded Snake  Eagle,Circaetus cinerascens
656,Ashy Flycatcher,Muscicapa caerulescens
281,Collared Pratincole,Glareola pratincola
346,Great Spotted Cuckoo,Clamator glandarius
853,Broad-tailed Paradise  Whydah,Vidua obtusa
530,Grey Penduline Tit,Anthoscopus caroli
1508,Northern Red-billed Hornbill,Tockus erythrorhynchus
484,Chestnut-backed  Sparrow-Lark,Eremopterix leucotis
609,Little Rush Warbler,Bradypterus baboecala
79,Black Stork,Ciconia nigra
341,African Cuckoo,Cuculus gularis
350,African Emerald Cuckoo,Chrysococcyx cupreus
592,Thrush Nightingale,Luscinia luscinia
196,Common Buttonquail,Turnix sylvaticus
279,Three-banded Courser,Rhinoptilus cinctus
345,Thick-billed Cuckoo,Pachycoccyx audeberti
348,Jacobin Cuckoo,Clamator jacobinus
363,African Scops Owl,Otus senegalensis
364,Southern White-faced Scops Owl,Ptilopsis granti
369,Verreaux's Eagle-Owl,Bubo lacteus
377,Pennant-winged Nightjar,Caprimulgus vexillarius
411,Swallow-tailed Bee-eater,Merops hirundineus
455,African Pitta,Pitta angolensis
644,Red-faced Cisticola,Cisticola erythrops
850,Purple Indigobird,Vidua purpurascens
386,Alpine Swift,Tachymarptis melba
499,Grey-rumped Swallow,Pseudhirundo griseopyga
502,Greater Striped Swallow,Cecropis cucullata
829,Orange-winged Pytilia,Pytilia afra
173,Coqui Francolin,Peliperdix coqui
359,Western Barn  Owl,Tyto alba
468,Flappet Lark,Mirafra rufocinnamomea
622,Bar-throated Apalis,Apalis thoracica
217,Kori Bustard,Ardeotis kori
460,Sabota Lark,Calendulauda sabota
661,Marico Flycatcher,Melaenornis mariquensis
47,White-breasted  Cormorant,Phalacrocorax lucidus
70,White-backed Night Heron,Gorsachius leuconotus
159,Black Sparrowhawk,Accipiter melanoleucus
182,Red-billed Spurfowl,Pternistis adspersus
354,Coppery-tailed Coucal,Centropus cupreicaudus
535,Hartlaub's Babbler,Turdoides hartlaubii
574,Arnot's Chat,Myrmecocichla arnotti
600,Yellow-bellied Eremomela,Eremomela icteropygialis
637,Piping Cisticola,Cisticola fulvicapilla
664,Southern Black Flycatcher,Melaenornis pammelaina
711,Crimson-breasted Shrike,Laniarius atrococcineus
833,African Firefinch,Lagonosticta rubricata
836,Brown Firefinch,Lagonosticta nitidula
844,African Quailfinch,Ortygospiza atricollis
860,Black-throated Canary,Crithagra atrogularis
3852,Northern Grey-headed Sparrow,Passer griseus
338,Schalow's Turaco,Tauraco schalowi
444,Green-backed Honeybird,Prodotiscus zambesiae
119,Amur Falcon,Falco amurensis
353,Black Coucal,Centropus grillii
436,Red-fronted Tinkerbird,Pogoniulus pusillus
601,Burnt-necked Eremomela,Eremomela usticollis
636,Short-winged Cisticola,Cisticola brachypterus
815,Yellow-mantled Widowbird,Euplectes macroura
398,African Pygmy Kingfisher,Ispidina picta
608,Sedge Warbler,Acrocephalus schoenobaenus
801,Golden Weaver,Ploceus xanthops
911,"Eurasian Reed (Old, Use Common Reed Warbler) Warbler",Acrocephalus scirpaceus
199,African Crake,Crecopsis egregia
227,Black-bellied Bustard,Lissotis melanogaster
532,African Spotted Creeper,Salpornis salvadori
615,Stierling's Wren-Warbler,Calamonastes stierlingi
668,Southern Hyliota,Hyliota australis
691,Wood Pipit,Anthus nyassae
698,Tree Pipit,Anthus trivialis
724,Magpie Shrike,Urolestes melanoleucus
868,Black-eared Seedeater,Crithagra mennelli
966,Sooty Chat,Myrmecocichla nigra
1424,Chaplin's Barbet,Lybius chaplini
1,Common Ostrich,Struthio camelus
138,Long-crested Eagle,Lophaetus occipitalis
205,Red-chested Flufftail,Sarothrura rufa
526,Miombo Tit,Melaniparus griseiventris
529,Rufous-bellied Tit,Melaniparus rufiventris
670,Yellow-bellied Hyliota,Hyliota flavigaster
739,Miombo Blue-eared Starling,Lamprotornis elisabeth
754,Copper Sunbird,Cinnyris cupreus
875,Cabanis's Bunting,Emberiza cabanisi
917,Collared Flycatcher,Ficedula albicollis
918,Souza's Shrike,Lanius souzae
755,Marico Sunbird,Cinnyris mariquensis
840,Violet-eared Waxbill,Granatina granatina
871,Lark-like Bunting,Emberiza impetuani
237,Kittlitz's Plover,Charadrius pecuarius
576,African Stonechat,Saxicola torquatus
759,Eastern Miombo Sunbird,Cinnyris manoensis
443,Brown-backed Honeybird,Prodotiscus regulus
648,Lazy Cisticola,Cisticola aberrans
515,White-breasted  Cuckooshrike,Ceblepyris pectoralis
538,Boulder Chat,Pinarornis plumosus
123,Rock Kestrel,Falco rupicolus
329,R\u00fcppell's Parrot,Poicephalus rueppellii
330,Rosy-faced Lovebird,Agapornis roseicollis
432,Acacia Pied Barbet,Tricholaema leucomelas
544,African Red-eyed Bulbul,Pycnonotus nigricans
561,Short-toed Rock  Thrush,Monticola brevipes
564,Mountain Wheatear,Myrmecocichla monticola
586,Kalahari Scrub Robin,Cercotrichas paena
650,Black-chested Prinia,Prinia flavicans
710,Swamp Boubou,Laniarius bicolor
730,Southern White-crowned Shrike,Eurocephalus anguitimens
744,Pale-winged Starling,Onychognathus nabouroup
747,Yellow-billed Oxpecker,Buphagus africanus
674,Pririt Batis,Batis pririt
764,Dusky Sunbird,Cinnyris fuscus
213,African Finfoot,Podica senegalensis
370,Pel's Fishing Owl,Scotopelia peli
133,Verreaux's Eagle,Aquila verreauxii
153,Augur Buzzard,Buteo augur
867,Streaky-headed Seedeater,Crithagra gularis
514,Ashy Tit,Melaniparus cinerascens
420,Violet  Wood Hoopoe,Phoeniculus damarensis
606,"African Reed (Old, Use Common Reed Warbler) Warbler",Acrocephalus baeticatus
646,Levaillant's Cisticola,Cisticola tinniens
666,African Yellow  Warbler,Iduna natalensis
863,Brimstone Canary,Crithagra sulphurata
913,Red-faced Crombec,Sylvietta whytii
813,Red-collared Widowbird,Euplectes ardens
218,Ludwig's Bustard,Neotis ludwigii
221,R\u00fcppell's Korhaan,Eupodotis rueppelii
485,Grey-backed Sparrow-Lark,Eremopterix verticalis
785,Great Sparrow,Passer motitensis
789,Scaly-feathered  Weaver,Sporopipes squamifrons
69,Black-crowned Night Heron,Nycticorax nycticorax
262,Marsh Sandpiper,Tringa stagnatilis
307,Namaqua Sandgrouse,Pterocles namaqua
528,Carp's Tit,Melaniparus carpi
537,Bare-cheeked Babbler,Turdoides gymnogenys
596,Icterine Warbler,Hippolais icterina
726,White-tailed Shrike,Lanioturdus torquatus
179,Orange River Francolin,Scleroptila gutturalis
184,Hartlaub's Spurfowl,Pternistis hartlaubi
920,Cinderella Waxbill,Glaucestrilda thomensis
2758,Angolan Cave Chat,Cossypha ansorgei
539,Rockrunner,Achaetops pycnopygius
796,Chestnut Weaver,Ploceus rubiginosus
1185,Damara Red-billed Hornbill,Tockus damarensis
865,White-throated Canary,Crithagra albogularis
429,Monteiro's Hornbill,Tockus monteiri
504,South African Cliff  Swallow,Petrochelidon spilodera
277,Temminck's Courser,Cursorius temminckii
406,Olive Bee-eater,Merops superciliosus
415,Purple Roller,Coracias naevius
889,Grey Kestrel,Falco ardosiaceus
165,Pale Chanting Goshawk,Melierax canorus
275,Spotted Thick-knee,Burhinus capensis
278,Double-banded Courser,Rhinoptilus africanus
381,Bradfield's Swift,Apus bradfieldi
743,Burchell's Starling,Lamprotornis australis
464,Dusky Lark,Pinarocorys nigricans
806,Red-headed Quelea,Quelea erythrops
86,Greater  Flamingo,Phoenicopterus roseus
658,Chestnut-vented Warbler,Curruca subcoerulea
259,Green Sandpiper,Tringa ochropus
663,Chat Flycatcher,Melaenornis infuscatus
379,Pallid Swift,Apus pallidus
391,White-backed Mousebird,Colius colius
95,African Black Duck,Anas sparsa
812,Yellow-crowned Bishop,Euplectes afer
849,Dusky Indigobird,Vidua funerea
378,Common Swift,Apus apus
154,Common Buzzard,Buteo buteo
741,Sharp-tailed Starling,Lamprotornis acuticaudus
498,Pearl-breasted Swallow,Hirundo dimidiata
510,Banded Martin,Riparia cincta
99,Blue-billed Teal,Spatula hottentota
197,African Rail,Rallus caerulescens
200,Striped Crake,Aenigmatolimnas marginalis
201,Spotted Crake,Porzana porzana
211,Lesser Moorhen,Paragallinula angulata
757,Shelley's Sunbird,Cinnyris shelleyi
816,Fan-tailed Widowbird,Euplectes axillaris
3138,Luapula Cisticola,Cisticola luapula
695,Buffy Pipit,Anthus vaalensis
41,Pink-backed Pelican,Pelecanus rufescens
102,Southern Pochard,Netta erythrophthalma
305,Whiskered Tern,Chlidonias hybrida
838,Orange-breasted Waxbill,Amandava subflava
915,Chirping Cisticola,Cisticola pipiens
4138,Rufous-winged Cisticola,Cisticola galactotes
847,Shaft-tailed Whydah,Vidua regia
434,Whyte's Barbet,Stactolaema whytii
390,Speckled Mousebird,Colius striatus
582,White-throated Robin-Chat,Cossypha humeralis
873,Cape Bunting,Emberiza capensis
512,Eastern Saw-wing,Psalidoprocne orientalis
488,Red-capped Lark,Calandrella cinerea
224,Red-crested Korhaan,Lophotis ruficrista
595,Garden Warbler,Sylvia borin
128,Black Kite,Milvus migrans
562,Miombo Rock  Thrush,Monticola angolensis
114,Lanner Falcon,Falco biarmicus
361,Marsh Owl,Asio capensis
705,Rosy-throated Longclaw,Macronyx ameliae
568,Capped Wheatear,Oenanthe pileata
459,Fawn-colored Lark,Calendulauda africanoides
1035,Northern Black Korhaan,Afrotis afraoides
607,Marsh Warbler,Acrocephalus palustris
616,Fan-tailed Grassbird,Catriscus brevirostris
854,Cuckoo Finch,Anomalospiza imberbis
688,Mountain Wagtail,Motacilla clara
822,Magpie Mannikin,Spermestes fringilloides
566,Karoo Chat,Emarginata schlegelii
4124,Benguela Long-billed Lark,Certhilauda benguelensis
841,Black-faced Waxbill,Brunhilda erythronotos
132,European Honey-buzzard,Pernis apivorus
215,Wattled Crane,Grus carunculata
579,Red-capped Robin-Chat,Cossypha natalensis
308,Burchell's Sandgrouse,Pterocles burchelli
42,Great White Pelican,Pelecanus onocrotalus
283,Rock Pratincole,Glareola nuchalis
982,Slaty Egret,Egretta vinaceigula
166,Western Marsh Harrier,Circus aeruginosus
131,Bat Hawk,Macheiramphus alcinus
495,White-throated Swallow,Hirundo albigularis
388,Mottled Spinetail,Telacanthura ussheri
689,Western Yellow Wagtail,Motacilla flava
98,Cape Teal,Anas capensis
250,African Snipe,Gallinago nigripennis
360,African Grass Owl,Tyto capensis
892,Streaky-breasted Flufftail,Sarothrura boehmi
198,Corn Crake,Crex crex
635,Pale-crowned Cisticola,Cisticola cinnamomeus
120,Red-footed Falcon,Falco vespertinus
703,Cape Longclaw,Macronyx capensis
1878,African Collared  Dove,Streptopelia roseogrisea
236,Chestnut-banded Plover,Charadrius pallidus
240,Caspian Plover,Charadrius asiaticus
96,Yellow-billed Duck,Anas undulata
641,Tinkling Cisticola,Cisticola rufilatus
3732,Black-lored  Waxbill,Estrilda nigriloris
230,Greater Painted-snipe,Rostratula benghalensis
94,Cape Shoveler,Spatula smithii
866,Yellow Canary,Crithagra flaviventris
66,Dwarf Bittern,Ixobrychus sturmii
140,Ayre's Hawk-Eagle,Hieraaetus ayresii
101,Fulvous Whistling Duck,Dendrocygna bicolor
269,Pied Avocet,Recurvirostra avosetta
594,Common Whitethroat,Curruca communis
117,Red-necked Falcon,Falco chicquera
716,Marsh Tchagra,Bocagia minuta
375,Swamp Nightjar,Caprimulgus natalensis
534,Black-faced Babbler,Turdoides melanops
912,Greater Swamp Warbler,Acrocephalus rufescens
508,Sand Martin,Riparia riparia
694,Plain-backed Pipit,Anthus leucophrys
630,Desert Cisticola,Cisticola aridulus
122,Greater Kestrel,Falco rupicoloides
276,Burchell's Courser,Cursorius rufus
474,Spike-heeled Lark,Chersomanes albofasciata
441,Scaly-throated Honeyguide,Indicator variegatus
769,Plain-backed Sunbird,Anthreptes reichenowi
906,Pallid Honeyguide,Indicator meliphilus
766,Olive Sunbird,Cyanomitra olivacea
740,Black-bellied Starling,Notopholia corusca
729,Chestnut-fronted Helmetshrike,Prionops scopifrons
1000,Twinspot Indigobird,Vidua codringtoni
547,Yellow-streaked Greenbul,Phyllastrephus flavostriatus
676,Woodward's Batis,Batis fratrum
907,Speckle-throated Woodpecker,Campethera scriptoricauda
614,Barred Wren-Warbler,Calamonastes fasciolatus
1023,Pied Wheatear,Oenanthe pleschanka
655,African Dusky Flycatcher,Muscicapa adusta
923,Barred Long-tailed Cuckoo,Cercococcyx montanus
135,Steppe Eagle,Aquila nipalensis
536,Southern Pied Babbler,Turdoides bicolor
523,Cape Crow,Corvus capensis
266,Bar-tailed Godwit,Limosa lapponica
384,Horus Swift,Apus horus
249,Great Snipe,Gallinago media
699,Bushveld Pipit,Anthus caffer
581,Cape Robin-Chat,Cossypha caffra
589,White-starred Robin,Pogonocichla stellata
618,Cape Grassbird,Sphenoeacus afer
752,Bronzy Sunbird,Nectarinia kilimensis
857,Cape Canary,Serinus canicollis
312,African Olive Pigeon,Columba arquatrix
639,Wailing Cisticola,Cisticola lais
672,Cape Batis,Batis capensis
916,Roberts's Warbler,Oreophilais robertsi
449,Green-backed Woodpecker,Campethera cailliautii
